First_Name,Last_Name,Player_ID,elo,Full Name
Fernando Marcos,"""Ace""",Fyedb9tvit,2053.306408,"Fernando Marcos ""Ace"""
Shane,Smith,MdhzYEnWyq,2021.213637,Shane Smith
Carlos,Durán,B2AK93JFVF,2009.530425,Carlos Durán
Adrian,Bonvento,KU3DX7DBL3,2008.960481,Adrian Bonvento
Orion,Wilfong,4QMlnuptfr,2006.020059,Orion Wilfong
Mateusz,Mikołajczyk,7U82YMoja4,1980.26426,Mateusz Mikołajczyk
Chris,Bacchi,KdpAF7i0FD,1958.29405,Chris Bacchi
Javier,Escu,skTlUNxtTd,1958.059318,Javier Escu
Bart,Lewandowski,RjlaQggGr1,1956.902746,Bart Lewandowski
Leander,Garrett,MBQNXAP0RG,1956.53484,Leander Garrett
John,Rees,lQNmimxxZM,1939.367245,John Rees
Wallace,West,UpDkdjeEeg,1938.083775,Wallace West
Nik,Fior,ZQyq9bmg5r,1933.918723,Nik Fior
Tamer,Ahmad Gil,77XQLWBHQQ,1931.305113,Tamer Ahmad Gil
"James ""JimmyK""",Kelly,n4GstAORAI,1928.192105,"James ""JimmyK"" Kelly"
Dylan,Gill,24DB1HT9EL,1922.069743,Dylan Gill
Liam,Bladwell,9C6LE52TQC,1915.204667,Liam Bladwell
Alberto,Javaloyes gallud,A7KFKMWLLT,1897.529414,Alberto Javaloyes gallud
mark,sinisterra,IRGNWiy6px,1891.454308,mark sinisterra
dan,barton,T89KF8VX7R,1889.581563,dan barton
Xavi,Giro,SJ2GcQA8i6,1889.453245,Xavi Giro
Joan,Molar,ftCD3v1L32,1886.807806,Joan Molar
Kirill,Kudrin,6HPQD82TM5,1877.110042,Kirill Kudrin
Ryan,Slater,NEF3L5CRB9,1874.957099,Ryan Slater
Jimbo,.,XXG35HNoFm,1873.210768,Jimbo .
aleksa,pavkovic,9UE6U05QVA,1870.66311,aleksa pavkovic
Lazarast,"""Tactical Reroll""",hHYEbcoi6Y,1870.488657,"Lazarast ""Tactical Reroll"""
Anthony,Martin,nL1NBigPLS,1864.771569,Anthony Martin
Ben,Palin,TJ11X2VXc6,1863.854259,Ben Palin
Alberto,Cortes,jWNF8RD51g,1855.484025,Alberto Cortes
Iván,Olsen Hidalgo,sqZiqv9wDW,1853.195753,Iván Olsen Hidalgo
Eric,Cerveto,AGRvHmdoJ7,1853.14545,Eric Cerveto
Pablo,Galleguillo,vF9aMIJKzh,1850.267137,Pablo Galleguillo
Mike,Cortes,KDPP0D5E4E,1848.892161,Mike Cortes
Augustin,Boulloche,XP5Y1RTMNE,1846.88524,Augustin Boulloche
Julio,Revilla,XB58M5Q1F5,1842.107475,Julio Revilla
Quique,Martín,zhPCGvywOO,1836.142179,Quique Martín
Alejo,Martin,WTKHSHosL8,1834.84819,Alejo Martin
Guy,Barton,R8H4JMLF69,1833.971879,Guy Barton
Kevin,Starr,stv0tLdK38,1828.405577,Kevin Starr
Nick,Craven,YAMP3F5WYD,1822.340987,Nick Craven
auston,lewis,HEbQgXQmZA,1821.586135,auston lewis
Ignat,Avdeev,sus7pZCQ9s,1819.658141,Ignat Avdeev
Fco. Javier,Rodeles,F6PGAGQ6H5,1818.158739,Fco. Javier Rodeles
Pablo,Alonso Saura,ldGgfthbMJ,1816.32122,Pablo Alonso Saura
Mikkel,Nielsen,GBKdxFelE9,1815.279577,Mikkel Nielsen
serkan,ayan,J93UYJ46T2,1814.61936,serkan ayan
Adrian,Martín,CzHwguPpng,1813.039025,Adrian Martín
Jonathon,Reynolds,TMawyCbOou,1808.091824,Jonathon Reynolds
Brett,Bouchard,mGT0NUJ0EK,1807.746322,Brett Bouchard
Rubén,Aguilar García,idOE04D5j4,1801.738998,Rubén Aguilar García
padilla,padilla,zBBCXiLtmu,1801.695085,padilla padilla
Tom,Robinson,N17XGD5KFJ,1801.685121,Tom Robinson
Kamil,Pardus,rhAzHFD00Y,1801.187478,Kamil Pardus
Dani,Palacios,gJvGnXrjsP,1797.759237,Dani Palacios
Dawson,Araujo,G1C8Y4LX0Q,1796.559692,Dawson Araujo
James,Robinson,giZHZ9yF9m,1795.069958,James Robinson
Carlos,Irala,D9ASeSfczE,1790.469387,Carlos Irala
Dakotah,Luster,y7lZnbcdEp,1786.647896,Dakotah Luster
Victor,Garcia,0iQE00GwZM,1781.521514,Victor Garcia
Voyin,Jaric,7MD5XDAYWQ,1780.946904,Voyin Jaric
Michael,Serra,0RStqEkvCq,1776.512719,Michael Serra
Alejandro,Pichardo,jpvULsKH1X,1775.862767,Alejandro Pichardo
Alejandro,Aguado,43D0BBG5U7,1774.528237,Alejandro Aguado
Rodri,Akore,1OyJMBfcKq,1774.242183,Rodri Akore
Gonzalo,Balot,YzuEUDkgjT,1773.360606,Gonzalo Balot
Javier,Aguilar,J8Nz1g1jkr,1773.331951,Javier Aguilar
Gael,Delgado,mbOzMaGDHq,1772.37693,Gael Delgado
umbasador,_,WGHK0F0WYB,1769.862423,umbasador _
Liam,Garrett,BX79MV7DRU,1769.299676,Liam Garrett
Josema,Gutiérrez,QNVTyGVnrg,1768.975001,Josema Gutiérrez
Vivek,Ramesh,T9RJ3C5XHJ,1768.120664,Vivek Ramesh
Joey,Cruz,2U2XEyWwmc,1767.071588,Joey Cruz
Èric,Zurita,PhulvtSvQp,1763.475914,Èric Zurita
Landon,Erwin,GTBL9VVU31,1760.972034,Landon Erwin
Nick,Collins,9QQGRMh7ZZ,1758.354009,Nick Collins
"Evaristo ""LTDemon""",Felices,EJSPvR8X33,1758.124675,"Evaristo ""LTDemon"" Felices"
Alexey,Sidelnikov,qKdup8Mc5l,1757.588187,Alexey Sidelnikov
Mikele,Yago,6icKLEBsVk,1757.544816,Mikele Yago
Juanlu,Icanem,wFLqwpyhLG,1756.657834,Juanlu Icanem
Vicente,Araque,cAoi7DjldO,1756.361222,Vicente Araque
Pablo Berzal,"""Pallis""",BsSqpVRkMq,1755.57731,"Pablo Berzal ""Pallis"""
Álex,AC,QUhx2qzHzb,1752.93482,Álex AC
Jon,Sao,kc67tsUe4y,1752.494318,Jon Sao
George,Armour,boOQPR8beM,1751.568176,George Armour
Alberto,Lamas Lage,U9EE1UP6YW,1750.139565,Alberto Lamas Lage
Sebastian,Nuñez del Arco,QBVDPRY9F3,1749.881781,Sebastian Nuñez del Arco
Alex,Squires,9CR3yKHCLB,1746.211113,Alex Squires
Juan Jose,Marchal Gomez,HBLLBJAKX3,1744.446161,Juan Jose Marchal Gomez
Miguel,Bismonte,87rhzfn81L,1742.183084,Miguel Bismonte
Kellen,Foster,FdSfCVQYwy,1741.363552,Kellen Foster
Blayne,Severson,QPzxdstbNn,1739.793674,Blayne Severson
Janis,Gilham,vGNyXe4NgX,1738.235305,Janis Gilham
Ryan,Moulson,daM9olWJ41,1736.764015,Ryan Moulson
Alejandro,Jimenez,i7ipCn3jkD,1736.056303,Alejandro Jimenez
Krystian,Soltysiak,DUGHXNK5KU,1735.86082,Krystian Soltysiak
Darrow,Venture,zTEAd4znUA,1735.673193,Darrow Venture
Raúl,Claros Domínguez,JqU5N3Fiiu,1735.577088,Raúl Claros Domínguez
Asier,Ibanez de Maeztu,8MM11RHX3V,1735.193691,Asier Ibanez de Maeztu
travis,cheng,S8ECE5cCTJ,1734.088617,travis cheng
Paco Rico,"""Chapu""",80JMMADKA9,1733.304719,"Paco Rico ""Chapu"""
Javi,CE,ItNPjhouDD,1732.967882,Javi CE
Noel,"""Shall""",ZZxccHpOVv,1728.514057,"Noel ""Shall"""
Matt,Wilhelm,G4B6CLaSTU,1728.016389,Matt Wilhelm
Queco,Díaz,7o9OS3R2ov,1727.483506,Queco Díaz
Nestor,Bailly,jNn8Yd1kAX,1727.22604,Nestor Bailly
Pedro,Rello,eWJYNCihIz,1726.908871,Pedro Rello
Alexander,Salazar,eOt0OLnFVN,1726.818033,Alexander Salazar
William,York,EgP9TyWc5y,1726.303371,William York
Christopher,Scott-Blore,bOPC4Oksxv,1726.10722,Christopher Scott-Blore
Camarada,Hernández,2EHPB49WNA,1724.705686,Camarada Hernández
Liher,Granado,baEiW179Kx,1724.468448,Liher Granado
Matt,Brown,tbAbdpQQpz,1724.38525,Matt Brown
James,Cosgrove,JY2JPFK5C4,1721.059807,James Cosgrove
Сергей,Чиков,6B46N7W3HP,1720.581963,Сергей Чиков
Branden,Bean,1lCEezaAcD,1719.932641,Branden Bean
mr,Felkan,KWQBJrf081,1719.257934,mr Felkan
Eduardo,Orcsky,Sjhb2yH8y1,1717.436868,Eduardo Orcsky
Antonio,Martinez Sanchez de Neyra,DRTPUC1JJ2,1716.023716,Antonio Martinez Sanchez de Neyra
Aleix,"""Dajlag""",o3RMwB53vQ,1716.005675,"Aleix ""Dajlag"""
Sebastian,Jaime,1yznOsT5bN,1714.932049,Sebastian Jaime
Kirill Ivankin,Archi,DuZ0zbTZMr,1713.013259,Kirill Ivankin Archi
Sam,Clarke,bRUa6Vs0Lz,1712.997657,Sam Clarke
Ruben,"""SiLeNt""",1D6FFiqy6L,1712.181173,"Ruben ""SiLeNt"""
Joraga,"""Tactical Reroll""",AVKOC7VJcp,1711.923775,"Joraga ""Tactical Reroll"""
Jason,Steinke,N69MXQKG3M,1710.516259,Jason Steinke
Jason,Lambropoulos,MRA95NW9A3,1710.12539,Jason Lambropoulos
Jonathan,Solly,YDNVD2TE88,1710.056491,Jonathan Solly
Emma,Hallinan,ZQ9Z7wyvOK,1709.487631,Emma Hallinan
Mauricio,Rodriguez,7UVtA4Ocvn,1708.667878,Mauricio Rodriguez
Jeshua,Kelly,pnHfoKOy8T,1708.605622,Jeshua Kelly
Gergely,“Watapi” Papp,hOogfq7rID,1708.188424,Gergely “Watapi” Papp
Sebastián,del Castillo,n16Jxo4sNI,1707.003665,Sebastián del Castillo
Joserra,Figueira,vEKaoxzcbu,1706.994889,Joserra Figueira
"Rodrigo ""Gogo""",Miranda,gi3XZFvuXY,1705.173019,"Rodrigo ""Gogo"" Miranda"
Fabriel,Nguyen,P1E7Y8KLUV,1704.061648,Fabriel Nguyen
Alberto,Ego-Aguirre,ZqF1aZhw2N,1703.622569,Alberto Ego-Aguirre
José,Delgado,Izh4VkShav,1703.492548,José Delgado
Matt,Opperman,NQG5gVgAlm,1702.648101,Matt Opperman
Jorge,Pérez,HKniGzQD7g,1702.28505,Jorge Pérez
Robert,Smith,aniRUHyr6c,1702.027164,Robert Smith
Yaroslav,Marchenko,fSoh1yDfZ0,1701.671445,Yaroslav Marchenko
Felipe,Gallardo,TIR0IYdWVP,1701.216864,Felipe Gallardo
Mario,“Zakanawaner”,2BTUTY4HY3,1700.286899,Mario “Zakanawaner”
Fernando,Millán,NTY6G3DXH9,1699.730151,Fernando Millán
Max,Honiball,K56WWW8V29,1699.369033,Max Honiball
Mario,Adrián,4VynLTsqXL,1698.110662,Mario Adrián
Jay,Song,BMkGCDUZpS,1697.955137,Jay Song
Antonio,Sanders,EDMofbtY6s,1696.061634,Antonio Sanders
Lucas,Carrón,MWWr27vXOF,1695.981651,Lucas Carrón
Matthew,Hoell,U76cUnyDFz,1695.81279,Matthew Hoell
Matthieu,RICHARD,LWGW70GGWX,1694.386476,Matthieu RICHARD
ivan,katmanchu,qCrkAsMeDM,1692.484569,ivan katmanchu
Will,Liu,27JQGQJPAC,1692.37711,Will Liu
Jesus,Carcel,GX3NXPE3VF,1690.81891,Jesus Carcel
Héctor,Algarra,MOVCSTbxeA,1690.728931,Héctor Algarra
Sammy,Miura,7THWFJ0E54,1690.139901,Sammy Miura
Marty,Lund,ItEkNWJPLm,1689.799987,Marty Lund
ParadoX,.,N6fFysF1hI,1689.588858,ParadoX .
Leila,Coffing,QYJTB1CQQ8,1689.04378,Leila Coffing
Kris,McCord,288CoqFu9p,1685.977133,Kris McCord
Casey,Martinson,Szja4RD1SI,1685.812586,Casey Martinson
Sam,Rosen,E19R5MRLPF,1685.589977,Sam Rosen
Esteban,Limas,ZMxCZ8EvSF,1685.080203,Esteban Limas
Dmitrii,Kuznechuga,VtyzsmdwIl,1683.296786,Dmitrii Kuznechuga
Rat,Man,ufl1Cefc42,1682.228286,Rat Man
Álvaro (Artic),López,CIirYeoDlB,1681.83824,Álvaro (Artic) López
Sergei,Skripskii,GDjl3YNptK,1680.767874,Sergei Skripskii
Edu,Ruiz,sLrsMhnf6A,1680.694188,Edu Ruiz
Rob,Poirier,oXyEuutitr,1680.266146,Rob Poirier
Stefan,Hadley,8XGY4NQR4U,1680.213627,Stefan Hadley
François,Queyroi,ML4N2B86BQ,1679.936605,François Queyroi
thibaud,dayan,wBTrZgxyK7,1678.977095,thibaud dayan
Sergio,Cos,4P9BKlQwSd,1678.228633,Sergio Cos
TRUE,Carlson,vsEWZDCgEJ,1678.219082,TRUE Carlson
Jorge,Cambero,pDQGPVAcKo,1677.725844,Jorge Cambero
Denis,Borisov,YhPipPgSs6,1677.581834,Denis Borisov
Iain,McDiarmid,CewEk6BOgW,1677.058483,Iain McDiarmid
Óscar,barón palmero,yXJz9Ud0a2,1676.627764,Óscar barón palmero
cesar,reyna,XQQ6N8VF1C,1676.366169,cesar reyna
Jason,Faye,Zsuo4qPKyo,1676.041438,Jason Faye
Leopoldo,Lizón,z8VA6lBVVt,1675.654874,Leopoldo Lizón
Wilder,López,LX12H95W49,1675.577209,Wilder López
draque,calero,uGt2lhG5qI,1675.28039,draque calero
James,Loomis,dvVgxe55xJ,1674.916588,James Loomis
Jeffrey,Chang,GFR1E2M3NJ,1673.379985,Jeffrey Chang
Antonio,Pane,680LQ5MngK,1672.487208,Antonio Pane
Stephan,Baulch,BUNBCLJBFT,1670.842721,Stephan Baulch
Kesha,Lavrentev,J651Y0RFB8,1670.595964,Kesha Lavrentev
Chris,Sharpe,LMNECJDXUU,1670.500764,Chris Sharpe
Khoa,Le,VBE5XJMK92,1670.393538,Khoa Le
Otto,Tinn Williams,gXzjDNe2d2,1670.269841,Otto Tinn Williams
Sorin,Alexandru,DaEAJO7OLu,1670.142016,Sorin Alexandru
Josh,Strole,LSu6Nhh6m9,1668.233413,Josh Strole
Chris “Beeranid40k”,Harris,otP5bJReLk,1667.828949,Chris “Beeranid40k” Harris
shannon,hawkins,ZpPFEcOCec,1667.460569,shannon hawkins
Amadeusz,Janiak,ZUFfbR357O,1666.67718,Amadeusz Janiak
Andrés Villar,"""DreW""",hY0Auty461,1666.269962,"Andrés Villar ""DreW"""
Franco,Álvarez,H759919D43,1665.901125,Franco Álvarez
Alexander,Miller,tWyoIAxSbA,1665.761164,Alexander Miller
Ryan,LaMantia,BD7FD5AQND,1665.06001,Ryan LaMantia
Danil,Murzopakost,Ew7cRSCvOJ,1664.943577,Danil Murzopakost
Chema,Vallvé,dHGSUClJ9F,1664.917271,Chema Vallvé
Martin,Caldo,grq33EAINA,1664.219566,Martin Caldo
Joe,Mullin,SmmZafu5Qu,1664.121136,Joe Mullin
Ivan,Castro Bravo,afy2RUie03,1664.079252,Ivan Castro Bravo
Andrzej,Rodziewicz,PKK403GUTT,1663.910701,Andrzej Rodziewicz
Lóránd,Papp,xhzwId2YZ7,1663.78224,Lóránd Papp
Cristhian David,Guarin Sepúlveda,voDjkvE33D,1663.70185,Cristhian David Guarin Sepúlveda
Joseph Alexander,Henderson,tMTOy1Cahj,1663.452134,Joseph Alexander Henderson
Polomer,Muriedas,EZ7UrRNzwo,1663.366999,Polomer Muriedas
Chuck,Yi,Eavm53WNUi,1663.083254,Chuck Yi
Jorge M.,Martínez,bLbeuiZxy6,1663.05292,Jorge M. Martínez
Alden,Bishop,fIrM9Fxe3a,1662.764464,Alden Bishop
François 'Linounette',Lesestre,dnKlnI8RIW,1661.416166,François 'Linounette' Lesestre
Tomas,Urioste,J3NTMHUE2E,1661.393489,Tomas Urioste
Eduardo,Martinez,JFUHF32URJ,1661.003205,Eduardo Martinez
Danil,ximximik,4B1RGJKK7F,1660.635235,Danil ximximik
George,Pratt,7K6HyLXaHN,1660.370662,George Pratt
Jeff,Selvey,PH84A119XK,1660.25355,Jeff Selvey
Erick,Rodriguez,dK5kFY9xFh,1660.237149,Erick Rodriguez
Kuba,Dolgopol,3DK9DqVVlg,1660.106239,Kuba Dolgopol
Alexander,Bacherikov,50MxzFipNk,1658.545617,Alexander Bacherikov
Zack,Wiesnoski,GG42PW2EXE,1657.880266,Zack Wiesnoski
Tas,Jouir,9GH44LCVX4,1657.501444,Tas Jouir
Jack,Beardslee,J58GwobOMu,1657.489116,Jack Beardslee
Mark,Amos,8pqsISZOhf,1656.619222,Mark Amos
Brett,Ross,OZK9GH0Kf0,1655.624019,Brett Ross
Roman,Skubiev,QVEW1GEGP0,1654.292359,Roman Skubiev
Jorge,Martin,CD8NCKY5C6,1653.967465,Jorge Martin
Miguel Angel,Diaz Sanchez,lRGtBNLLE0,1653.898429,Miguel Angel Diaz Sanchez
Adam,Younce,VGowXtLtF4,1651.99937,Adam Younce
Cody,Stewart,M5AHC9VN4X,1651.546242,Cody Stewart
Benjamin,McMillan,RQ1NVFGW02,1651.071727,Benjamin McMillan
Joseph,Gallo,75AAY2E24T,1650.657363,Joseph Gallo
Chapin,Boyer,OtPBBGiO3W,1650.551856,Chapin Boyer
Tyler,Johnson,jG8pyjjQhk,1650.30812,Tyler Johnson
Mario Alejandro,Pérez Baigorria,AB0MCLGU49,1650.245655,Mario Alejandro Pérez Baigorria
Michael,Shinn,i5IF4saTSB,1650.059419,Michael Shinn
Andrew,Weaver,TGMF61LDKK,1649.958227,Andrew Weaver
Lucas,Hrubisiuk,0DURX1M10P,1649.425959,Lucas Hrubisiuk
Steven,Swann,UK94N2VKA9,1649.064056,Steven Swann
Igor,Radiant,rDHwAj85qJ,1648.616767,Igor Radiant
Emmanuel,Mitsinikos,ISPfB1pWC1,1648.35953,Emmanuel Mitsinikos
Peter,Worsley,LNzQ2IC5ja,1648.157924,Peter Worsley
Javier,Pérez-Padilla Villaden,S95EhFDewB,1647.587721,Javier Pérez-Padilla Villaden
Manu,Manek,nabDa5yXw7,1647.312935,Manu Manek
José ramón,Rodríguez cruz,tHJWDl78cJ,1647.073349,José ramón Rodríguez cruz
kewan,Tuñí,HH1jr99mwP,1646.858856,kewan Tuñí
